id;Nazionalità;Nome
821;American;Patrick Henry Bruce
822;American;Anton Bruehl
824;American;Francis Bruguière
825;Swiss;Paul Brühwiler
826;Israeli;William Brui
827;unknown;Brumhoff
828;Swiss;Donald Brun
829;German;Peter Brüning
830;American;Robert Brunner
831;Slovak;Albin Brunovsky
832;American;Norman Bruns
833;Austrian;Günter Brus
834;Russian;Grisha Bruskin
835;Dutch;Wim Brusse
836;American;William Bryant
837;French;Camille Bryen
838;Polish;Tadeusz Brzozowski
839;German;Gernot Bubenik
840;Croatian;Boris Bućan
841;Austrian;Erich Buchegger
842;Swiss;Gustave Buchet
843;German;Carl Buchheister
844;German;Erich Buchholz
845;American;John Buck
846;German;Peer Bücking
847;British;John Buckland-Wright
848;American;Peter H. Buckley
849;British;Stephen Buckley
850;American;David Budd
851;American;Dan Budnik
852;Greek;Budry
853;American;Eugene Buechel
854;American;Alice Standish Buell
855;French;Bernard Buffet
856;Swiss;Fritz Bühler
857;French;Felix Buhot
858;Polish;Adam Bujak
860;American;John G. Bullock
861;American;Wynn Bullock
862;Swedish;Torun Bülow-Hübe
863;American;Louis Bunce
864;German;Willi Bunkowski
865;French;Édouard-Wilfred Buquet
866;French;Pierre Buraglio
867;Chilean;Pablo Burchard
869;German;Max Burchartz
870;American;Charles Burchfield
871;American;Chris Burden
873;French;Daniel Buren
874;American;Bill Burke
875;Swiss;Burkhard
876;American;Paul Burlin
877;Ukrainian;David Burliuk
878;Australian;Ian Burn
879;British;Edward Burne-Jones
880;British;Deirdre Burnett
881;American;Joseph Burnett
882;American;Marsha Burns
883;British;Edward Burra
884;Italian;Alberto Burri
885;Swiss;René Burri
886;British;Larry Burrows
888;American;Richmond Burton
889;American;Scott Burton
890;Belgian;Pol Bury
892;American;Andrew Foster Bush
893;Canadian;Jack Bush
894;American;Wolf von dem Bussche
895;American;Solomon D. Butcher
898;American;Frances Butler
899;Argentine;Horacio A. Butler
900;British;Reg Butler
901;British;Elizabeth Butterworth
902;American;James Lee Byars
903;American;Michael Byron
904;British;C.N. and Company
905;Brazilian;Roland Cabot
906;Italian;Luigi Caccia Dominioni
907;French;Cadavre Exquis
908;American;John Cadenhead
909;American;Paul Cadmus
910;Danish;Poul Cadovius
911;American;Deborah Fleming Caffery
912;American;John Cage
913;Italian;Corrado Cagli
914;Swiss;Miriam Cahn
915;French;Marcelle Cahn
916;American;Fred Cain
917;Peruvian;José Milner Cajahuaringa
918;American;Charles Cajori
919;American;Letterio Calapai
